Quarter,Time,Down,ToGo,Location,Detail,SEA,DEN,EPB,EPA
4,12:37,1,10,DEN 34,Russell Wilson pass complete deep middle to Jermaine Kearse for 24 yards (tackle by Tony Carter),36,8,3.310,4.910
4,11:55,1,10,DEN 10,Russell Wilson pass complete short right to Doug Baldwin for 10 yards touchdown,42,8,4.910,7.000
4,11:55,,,,Steven Hauschka kicks extra point good,43,8,0.000,0.000
4,11:55,,,SEA 35,Steven Hauschka kicks off 64 yards returned by Trindon Holliday for 12 yards (tackle by Michael Robinson),43,8,0.000,0.320
4,11:38,1,10,DEN 13,Peyton Manning pass incomplete short right intended for Eric Decker (defended by Cliff Avril),43,8,-0.320,-0.770
4,11:34,2,10,DEN 13,Peyton Manning pass incomplete short right intended for Demaryius Thomas,43,8,-0.770,-1.420
4,11:28,3,10,DEN 13,Peyton Manning pass incomplete short right intended for Demaryius Thomas. Penalty on Walter Thurmond: Defensive Pass Interference 15 yards (no play),43,8,-1.420,0.810
4,11:23,1,10,DEN 28,Peyton Manning pass complete short middle to Demaryius Thomas for 17 yards (tackle by Earl Thomas),43,8,0.810,1.930
4,11:02,1,10,DEN 45,Peyton Manning pass complete short right to Montee Ball for 1 yard (tackle by Malcolm Smith),43,8,1.930,1.520
4,10:29,2,9,DEN 46,Peyton Manning pass complete short middle to Wes Welker for 7 yards (tackle by Clinton McDonald),43,8,1.520,1.750
4,9:59,3,2,SEA 47,Peyton Manning pass incomplete short left intended for Eric Decker,43,8,1.750,0.130
4,9:55,4,2,SEA 47,Peyton Manning pass incomplete short middle intended for Montee Ball,43,8,0.130,-2.060
4,9:48,1,10,SEA 47,Robert Turbin left tackle for 6 yards (tackle by Duke Ihenacho and Mitch Unrein),43,8,2.060,2.330
4,9:07,2,4,DEN 47,Robert Turbin up the middle for 3 yards (tackle by Robert Ayers),43,8,2.330,2.020
4,8:30,3,1,DEN 44,Robert Turbin right guard for 5 yards (tackle by Danny Trevathan),43,8,2.020,2.980
4,7:49,1,10,DEN 39,Robert Turbin right tackle for 6 yards (tackle by Robert Ayers and Malik Jackson). Penalty on Zach Miller: Offensive Holding 10 yards (no play),43,8,2.980,2.320
4,7:26,1,20,DEN 49,Russell Wilson left tackle for 16 yards (tackle by Mike Adams),43,8,2.320,3.250
4,6:48,2,4,DEN 33,Robert Turbin right tackle for 3 yards (tackle by Sylvester Williams and Shaun Phillips),43,8,3.250,2.940
4,6:13,3,1,DEN 30,Robert Turbin right tackle for no gain (tackle by Danny Trevathan and Shaun Phillips),43,8,2.940,1.520
4,5:27,4,1,DEN 30,Russell Wilson pass incomplete short right intended for Robert Turbin,43,8,1.520,-1.000
4,5:19,1,10,DEN 31,Montee Ball right end for 3 yards (tackle by Malcolm Smith),43,8,1.000,0.870
4,4:45,2,7,DEN 34,Montee Ball right end for -4 yards (tackle by O'Brien Schofield and Malcolm Smith),43,8,0.870,-0.360
4,4:05,3,11,DEN 30,Peyton Manning pass incomplete deep middle intended for Demaryius Thomas,43,8,-0.360,-1.370
4,3:52,4,11,DEN 30,Peyton Manning sacked by Chris Clemons for -7 yards. Peyton Manning fumbles (forced by Chris Clemons) recovered by Clinton McDonald at DEN-29 (tackle by Chris Clark),43,8,-1.370,-3.640
4,3:44,1,10,DEN 29,Robert Turbin up the middle for 3 yards (tackle by Terrance Knighton and Jeremy Mincey),43,8,3.640,3.510
4,3:01,2,7,DEN 26,Robert Turbin right end for no gain (tackle by Danny Trevathan and Duke Ihenacho),43,8,3.510,2.810
4,2:14,3,7,DEN 26,Tarvaris Jackson pass incomplete short right intended for Ricardo Lockette,43,8,2.810,1.740
4,2:05,4,7,DEN 26,Robert Turbin left tackle for 2 yards (tackle by Terrance Knighton and Danny Trevathan),43,8,1.740,-0.540
4,1:59,1,10,DEN 24,Peyton Manning pass complete short middle to C.J. Anderson for 14 yards (tackle by Bruce Irvin and Heath Farwell),43,8,0.540,1.470
4,1:19,1,10,DEN 38,C.J. Anderson left guard for 3 yards (tackle by Brandon Mebane and Malcolm Smith),43,8,1.470,1.330
4,0:40,2,7,DEN 41,C.J. Anderson up the middle for 6 yards (tackle by Malcolm Smith),43,8,1.330,1.420
