Quarter,Time,Down,ToGo,Location,Detail,SEA,SFO,EPB,EPA
4,8:14,2,10,SFO 40,Colin Kaepernick pass complete short left to Anquan Boldin for 4 yards (tackle by Bobby Wagner),19,3,1.050,0.890
4,7:43,2,10,SFO 40,Timeout #1 by Seattle Seahawks,19,3,0.000,0.000
4,7:43,3,6,SFO 44,Penalty on Michael Bennett: Neutral Zone Infraction 5 yards (no play),19,3,0.890,1.550
4,7:43,3,1,SFO 49,Frank Gore up the middle for 5 yards (tackle by Michael Bennett),19,3,1.550,2.520
4,7:13,1,10,SEA 46,Colin Kaepernick pass incomplete short right intended for Steve Johnson is intercepted by Richard Sherman at SEA-31 and returned for 1 yard. Penalty on Michael Crabtree: Personal Foul (Offsetting) Penalty on Tharold Simon: Unsportsmanlike Conduct (Offsetting),19,3,2.520,-1.070
4,7:04,1,10,SEA 32,Marshawn Lynch right tackle for 1 yard (tackle by Chris Borland),19,3,1.070,0.660
4,6:19,2,9,SEA 33,Russell Wilson pass complete short right to Luke Willson for 10 yards (tackle by Chris Borland),19,3,0.660,1.800
4,5:44,1,10,SEA 43,Marshawn Lynch right tackle for 2 yards (tackle by Chris Borland),19,3,1.800,1.520
4,5:01,2,8,SEA 45,Marshawn Lynch left tackle for 2 yards (tackle by Antoine Bethea),19,3,1.520,1.090
4,4:19,3,6,SEA 47,Russell Wilson left end for 6 yards (tackle by Eric Reid),19,3,1.090,2.460
4,3:34,1,10,SFO 47,Russell Wilson pass complete short right to Luke Willson for 15 yards (tackle by Aaron Lynch),19,3,2.460,3.450
4,3:22,1,10,SFO 47,Timeout #1 by San Francisco 49ers,19,3,0.000,0.000
4,3:22,1,10,SFO 32,Marshawn Lynch right end for 3 yards (tackle by Aaron Lynch and Tony Jerod-Eddie),19,3,3.450,3.310
4,3:16,1,10,SFO 32,Timeout #2 by San Francisco 49ers,19,3,0.000,0.000
4,3:16,2,7,SFO 29,Christine Michael right tackle for 8 yards (tackle by Chris Borland),19,3,3.310,4.170
4,3:10,2,7,SFO 29,Timeout #3 by San Francisco 49ers,19,3,0.000,0.000
4,3:10,1,10,SFO 21,Russell Wilson pass incomplete short left intended for Doug Baldwin,19,3,4.170,3.630
4,3:03,2,10,SFO 21,Christine Michael right tackle for -2 yards (tackle by Tank Carradine),19,3,3.630,2.680
4,2:17,3,12,SFO 23,Russell Wilson left end for 10 yards (tackle by Chris Culliver),19,3,2.680,2.690
4,2:03,3,12,SFO 23,Timeout #2 by Seattle Seahawks,19,3,0.000,0.000
4,2:03,4,2,SFO 13,Russell Wilson pass incomplete short right intended for Luke Willson,19,3,2.690,0.320
,,,,,SEA challenged the incomplete pass ruling and the play was upheld.,,,,
4,1:54,1,10,SFO 13,Colin Kaepernick pass complete short middle to Brandon Lloyd for 6 yards (tackle by Richard Sherman),19,3,-0.320,0.030
4,1:30,2,4,SFO 19,Colin Kaepernick pass complete short right to Carlos Hyde for 8 yards (tackle by Earl Thomas),19,3,0.030,0.740
4,1:07,1,10,SFO 27,Colin Kaepernick sacked by K.J. Wright for -5 yards,19,3,0.740,-0.480
4,0:34,2,15,SFO 22,Colin Kaepernick pass complete short left to Vernon Davis for 3 yards (tackle by Bobby Wagner),19,3,-0.480,-0.760
4,0:09,3,12,SFO 25,Colin Kaepernick pass complete short left to Carlos Hyde for 5 yards (tackle by K.J. Wright). Penalty on Tharold Simon: Illegal Contact 5 yards (no play),19,3,-0.760,0.940
4,0:02,1,10,SFO 30,Colin Kaepernick pass complete short left to Carlos Hyde for 14 yards (tackle by Kam Chancellor and K.J. Wright),19,3,0.940,1.860
