Quarter,Time,Down,ToGo,Location,Detail,STL,SEA,EPB,EPA
4,7:10,2,9,SEA 22,Shaun Hill pass complete short left to Benny Cunningham for 12 yards (tackle by O'Brien Schofield),6,20,3.630,4.910
4,6:45,1,10,SEA 10,Zac Stacy up the middle for 4 yards (tackle by Malcolm Smith and Kam Chancellor),6,20,4.910,4.950
4,6:10,2,6,SEA 6,Shaun Hill pass incomplete short left intended for Jared Cook,6,20,4.950,4.040
4,6:05,3,6,SEA 6,Shaun Hill pass complete short left to Benny Cunningham for 5 yards (tackle by Earl Thomas). Benny Cunningham fumbles (forced by Earl Thomas),6,20,4.040,-0.280
4,5:58,1,10,SEA 20,Robert Turbin left tackle for 4 yards (tackle by Alec Ogletree and Michael Brockers),6,20,0.280,0.270
4,5:15,2,6,SEA 24,Robert Turbin right guard for -1 yards (tackle by Michael Brockers and Aaron Donald),6,20,0.270,-0.560
4,4:35,3,7,SEA 23,Russell Wilson pass incomplete short right intended for Luke Willson,6,20,-0.560,-1.830
4,4:30,4,7,SEA 23,Jon Ryan punts 38 yards fair catch by Tavon Austin,6,20,-1.830,-1.530
4,4:23,1,10,RAM 39,Shaun Hill pass complete short right to Tavon Austin for 6 yards (tackle by Richard Sherman),6,20,1.530,1.800
4,4:16,2,4,RAM 45,Shaun Hill pass incomplete short right intended for Jared Cook,6,20,1.800,1.090
4,4:12,3,4,RAM 45,Shaun Hill pass complete short middle to Stedman Bailey for 17 yards (tackle by Earl Thomas),6,20,1.090,3.050
4,3:45,1,10,SEA 38,Shaun Hill pass complete short right to Chris Givens for 9 yards (tackle by Richard Sherman). Penalty on Chris Givens: Offensive Pass Interference 10 yards (no play),6,20,3.050,2.390
4,3:37,1,20,SEA 48,Shaun Hill sacked by O'Brien Schofield for -12 yards,6,20,2.390,-0.460
4,2:58,2,32,RAM 40,Shaun Hill pass complete short right to Benny Cunningham for 7 yards (tackle by Bobby Wagner and Jeremy Lane),6,20,-0.460,-0.160
4,2:31,3,25,RAM 47,Shaun Hill sacked by Bruce Irvin for -10 yards. Shaun Hill fumbles (forced by Bruce Irvin) recovered by Greg Robinson at STL-37,6,20,-0.160,-0.910
4,2:19,4,35,RAM 37,Shaun Hill pass complete short middle to Benny Cunningham for 11 yards (tackle by Malcolm Smith),6,20,-0.910,-2.460
4,2:11,1,10,RAM 47,Robert Turbin right guard for 4 yards (tackle by T.J. McDonald and Alec Ogletree),6,20,2.460,2.450
4,2:06,1,10,RAM 47,Timeout #1 by St. Louis Rams,6,20,0.000,0.000
4,2:05,2,6,RAM 43,Robert Turbin right tackle for 10 yards (tackle by Rodney McLeod and Marcus Roberson),6,20,2.450,3.380
4,2:00,1,10,RAM 33,Russell Wilson kneels for -1 yards,6,20,3.380,2.700
4,1:21,2,11,RAM 34,Russell Wilson kneels for -2 yards,6,20,2.700,1.750
4,0:40,3,13,RAM 36,Russell Wilson kneels for -1 yards,6,20,1.750,0.790
